anneemut;Nom Officiel Région;Nom Officiel Département;Nom Officiel Commune / Arrondissement Municipal Majuscule;Libellé CATEAAV2020;Nom Officiel EPCI;codgeo_2020;nbmut;nbmut_vente;nbmut_ventem;nbmut_ventea;nbmut_vefa;nbmut_vefam;nbmut_vefaa;nbmut_tab;nbmut_adj;nbmut_expro;nbmut_ech;nbmut_act;nbmut_maison;nbmut_appart;nbmut_dep;nbmut_batind;nbmut_batimix;nbmut_terrain;vf_ventem;vf_vefam;vf_ventea;vf_vefaa;vfmed_ventem;vfmed_ventem_inf500;vfmed_ventem_500_1000;vfmed_ventem_sup1000;vfmed_vefam;vfmed_vefam_inf500;vfmed_vefam_500_1000;vfmed_vefam_sup1000;vfmed_ventea;vfmed_ventea_t1;vfmed_ventea_t2;vfmed_ventea_t3;vfmed_ventea_t4;vfmed_ventea_t5;vfm2_ventea;vfm2_ventea_t1;vfm2_ventea_t2;vfm2_ventea_t3;vfm2_ventea_t4;vfm2_ventea_t5;vfmed_vefaa;vfmed_vefaa_t1;vfmed_vefaa_t2;vfmed_vefaa_t3;vfmed_vefaa_t4;vfmed_vefaa_t5;vfm2_vefaa;vfm2_vefaa_t1;vfm2_vefaa_t2;vfm2_vefaa_t3;vfm2_vefaa_t4;vfm2_vefaa_t5;Code Officiel Département;Code Officiel EPCI;Code Officiel Région;Geo Point;Geo Shape;Code CATEAAV2020;Code Officiel Commune;Nom Officiel Commune;POP_2018;Nbre-menages_2018;Logement_2018;nbmut_ventevefa;VF_ventevefa
2017;Île-de-France;Paris;PARIS 15E ARRONDISSEMENT;;Métropole du Grand Paris;75115;4774;4656;15;2592;94;0;36;;12;;12;281;16;3737;608;78;52;;17983752.0;0;1030145367;19695205;1212500.0;1212500.0;;;;;;;345000;204500;338000;495000;700200;1040000;8821;8854;8818;8703;8756;9451;442000;343100;555000;700000;1041666;;11280;10963;11633;11348;10961;;75;200054781;11;48.8400718952, 2.29283683831;"{""coordinates"": [[[2.324642, 48.843621], [2.319893, 48.845166], [2.316983, 48.846636], [2.316713, 48.846863], [2.313716, 48.845943], [2.310495, 48.847976], [2.308218, 48.847433], [2.307354, 48.847133], [2.301228, 48.851062], [2.300546, 48.851385], [2.29102, 48.857498], [2.289696, 48.858183], [2.288513, 48.857021], [2.288207, 48.856134], [2.287837, 48.855764], [2.278021, 48.848888], [2.276057, 48.847248], [2.266032, 48.836838], [2.262792, 48.833923], [2.267475, 48.834593], [2.268102, 48.834428], [2.269931, 48.833011], [2.267339, 48.831532], [2.267626, 48.827969], [2.267826, 48.827836], [2.272793, 48.82792], [2.275304, 48.829435], [2.279052, 48.83249], [2.283586, 48.830796], [2.289408, 48.828334], [2.292192, 48.827142], [2.301315, 48.825126], [2.306932, 48.829823], [2.307135, 48.830178], [2.311855, 48.834024], [2.314831, 48.836303], [2.319877, 48.840539], [2.321394, 48.839777], [2.321837, 48.840099], [2.321472, 48.840965], [2.321531, 48.841084], [2.324642, 48.843621]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;2643.0;1067824325.1
2014;Île-de-France;Paris;PARIS 14E ARRONDISSEMENT;;Métropole du Grand Paris;75114;1694;1586;18;938;99;0;14;;;;6;71;21;1283;218;82;19;;24212880.0;0;323437508;5642358;1250000.0;1250000.0;1685000.0;;;;;;295000;175000;285400;450000;650000;800000;8058;7713;7964;8127;8364;8522;307023;292976;537792;449920;625000;;9372;11444;10292;7040;8680;;75;200054781;11;48.8292621904, 2.3265374238;"{""coordinates"": [[[2.314146, 48.822291], [2.332461, 48.818247], [2.331898, 48.817011], [2.333711, 48.816771], [2.341684, 48.81633], [2.343013, 48.816085], [2.343903, 48.815767], [2.344129, 48.817772], [2.344592, 48.819564], [2.34373, 48.820503], [2.342485, 48.821469], [2.341797, 48.82253], [2.341461, 48.823761], [2.341796, 48.826448], [2.341592, 48.82649], [2.3416, 48.828353], [2.341356, 48.829424], [2.34125, 48.831589], [2.341072, 48.831972], [2.342086, 48.838343], [2.339697, 48.838863], [2.336657, 48.839671], [2.324642, 48.843621], [2.321531, 48.841084], [2.321472, 48.840965], [2.321837, 48.840099], [2.321394, 48.839777], [2.319877, 48.840539], [2.314831, 48.836303], [2.311855, 48.834024], [2.307135, 48.830178], [2.306932, 48.829823], [2.301315, 48.825126], [2.314146, 48.822291]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;970.0;353292746.75
2020;Île-de-France;Paris;PARIS 13E ARRONDISSEMENT;;Métropole du Grand Paris;75113;1818;1649;12;945;164;0;7;;;;;78;13;1315;199;188;25;;17065690.0;0;370386215;4474550;1250000.0;1250000.0;;;;;;;345000;210000;343000;520000;736000;960000;9508;9785;9708;9447;8843;9061;451000;306000;451000;;1350000;;9169;11769;9327;;8895;;75;200054781;11;48.8284246249, 2.3622537471;"{""coordinates"": [[[2.343903, 48.815767], [2.344448, 48.815562], [2.344356, 48.816016], [2.345191, 48.816092], [2.346542, 48.815987], [2.347039, 48.816047], [2.351254, 48.817962], [2.352392, 48.818551], [2.355852, 48.815923], [2.356232, 48.815943], [2.363329, 48.816148], [2.364204, 48.816398], [2.380767, 48.821701], [2.381524, 48.822411], [2.385226, 48.823729], [2.386941, 48.824463], [2.389445, 48.825345], [2.390072, 48.825692], [2.388512, 48.826744], [2.384305, 48.830311], [2.378358, 48.835023], [2.375322, 48.837608], [2.37355, 48.839329], [2.366088, 48.844968], [2.365127, 48.844413], [2.361745, 48.839941], [2.351871, 48.836805], [2.347007, 48.837316], [2.342086, 48.838343], [2.341072, 48.831972], [2.34125, 48.831589], [2.341356, 48.829424], [2.3416, 48.828353], [2.341592, 48.82649], [2.341796, 48.826448], [2.341461, 48.823761], [2.341797, 48.82253], [2.342485, 48.821469], [2.34373, 48.820503], [2.344592, 48.819564], [2.344129, 48.817772], [2.343903, 48.815767]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;964.0;391926455.69
2020;Île-de-France;Paris;PARIS 9E ARRONDISSEMENT;;Métropole du Grand Paris;75109;1475;1465;0;812;;0;0;;;;9;152;;1072;167;37;47;;0.0;0;471125323;0;;;;;;;;;474251;230000;432600;695000;986860;1461000;11069;10856;11406;11321;10407;11353;;;;;;;;;;;;;75;200054781;11;48.8771651221, 2.33745612164;"{""coordinates"": [[[2.325888, 48.869577], [2.327999, 48.869921], [2.340041, 48.871972], [2.347918, 48.870688], [2.347901, 48.874019], [2.34816, 48.875484], [2.348352, 48.876083], [2.349135, 48.877529], [2.3493, 48.879103], [2.349853, 48.880643], [2.3496, 48.88348], [2.349465, 48.883725], [2.346909, 48.883414], [2.339802, 48.882024], [2.3374, 48.882386], [2.332482, 48.883826], [2.329541, 48.88459], [2.328121, 48.883707], [2.327423, 48.883508], [2.327165, 48.883455], [2.326876, 48.876184], [2.326637, 48.875355], [2.327025, 48.873781], [2.326911, 48.873427], [2.32647, 48.872762], [2.326614, 48.872598], [2.325888, 48.869577]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;812.0;471125323.81
2020;Île-de-France;Paris;PARIS 11E ARRONDISSEMENT;;Métropole du Grand Paris;75111;3040;3020;0;1803;;0;0;;;;14;214;;2339;367;47;70;;0.0;0;743739403;0;1694000.0;1694000.0;;;;;;;352500;220000;365000;602694;902500;1300000;10525;10659;10514;10476;10745;9663;;;;;;;;;;;;;75;200054781;11;48.8590549282, 2.38002516623;"{""coordinates"": [[[2.369124, 48.853166], [2.370228, 48.853282], [2.372012, 48.85238], [2.374776, 48.851627], [2.378896, 48.850625], [2.380115, 48.850455], [2.381426, 48.850408], [2.384458, 48.850127], [2.395958, 48.848378], [2.399121, 48.848098], [2.399247, 48.84887], [2.398443, 48.851218], [2.394345, 48.85652], [2.392259, 48.85763], [2.389537, 48.858488], [2.387335, 48.86296], [2.383584, 48.866267], [2.382971, 48.867178], [2.37829, 48.870775], [2.376905, 48.872048], [2.37335, 48.870723], [2.369358, 48.869485], [2.367611, 48.868819], [2.365618, 48.868237], [2.363872, 48.867516], [2.364307, 48.867309], [2.36489, 48.86617], [2.366748, 48.863076], [2.368491, 48.855805], [2.369124, 48.853166]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1803.0;743739403.94
2017;Île-de-France;Paris;PARIS 3E ARRONDISSEMENT;;Métropole du Grand Paris;75103;963;954;0;581;;0;0;;5;;;123;;731;70;10;29;;0.0;0;260188067;0;;;;;;;;;370500;225000;410000;598000;855000;1383588;10162;10833;10388;9707;9225;10529;;;;;;;;;;;;;75;200054781;11;48.8628777616, 2.35999851631;"{""coordinates"": [[[2.368491, 48.855805], [2.366748, 48.863076], [2.36489, 48.86617], [2.364307, 48.867309], [2.363872, 48.867516], [2.36329, 48.867816], [2.356496, 48.868829], [2.354253, 48.869324], [2.350955, 48.863402], [2.350164, 48.861985], [2.3535, 48.861213], [2.356742, 48.860147], [2.359345, 48.858339], [2.361768, 48.857244], [2.364941, 48.856306], [2.368279, 48.855785], [2.368491, 48.855805]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;581.0;260188067.13
2015;Île-de-France;Paris;PARIS 16E ARRONDISSEMENT;;Métropole du Grand Paris;75116;3932;3900;20;1780;6;0;0;;11;;15;105;34;2918;775;71;29;;44257148.94;0;1001910714;0;1765000.0;1421000.0;3954898.94;;;;;;445000;217500;382300;586500;830000;1270000;8299;7510;8200;8377;8597;8478;;;;;;;;;;;;;75;200054781;11;48.8603736497, 2.26196792396;"{""coordinates"": [[[2.295032, 48.873773], [2.279949, 48.878573], [2.27947, 48.878532], [2.277487, 48.877968], [2.258467, 48.880387], [2.25541, 48.874264], [2.254817, 48.874081], [2.246533, 48.876142], [2.245704, 48.876459], [2.24301, 48.873785], [2.241856, 48.872901], [2.240945, 48.872342], [2.239225, 48.871573], [2.235576, 48.870523], [2.233702, 48.869898], [2.231736, 48.869069], [2.230659, 48.86808], [2.228377, 48.86538], [2.227181, 48.862385], [2.22567, 48.859405], [2.224407, 48.856154], [2.224219, 48.853517], [2.226594, 48.852812], [2.23918, 48.850042], [2.23977, 48.849832], [2.240184, 48.849571], [2.242362, 48.847658], [2.250516, 48.845555], [2.252478, 48.845486], [2.251216, 48.84289], [2.251709, 48.838822], [2.255144, 48.83481], [2.262792, 48.833923], [2.266032, 48.836838], [2.276057, 48.847248], [2.278021, 48.848888], [2.287837, 48.855764], [2.288207, 48.856134], [2.288513, 48.857021], [2.289696, 48.858183], [2.292196, 48.860254], [2.29369, 48.861246], [2.294865, 48.861876], [2.296871, 48.862619], [2.298589, 48.863144], [2.299222, 48.863284], [2.301737, 48.863496], [2.301635, 48.864491], [2.300298, 48.865008], [2.299842, 48.864987], [2.299838, 48.865537], [2.298867, 48.868644], [2.297501, 48.870939], [2.295543, 48.873303], [2.295032, 48.873773]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1800.0;1046167863.3399999
2014;Île-de-France;Paris;PARIS 7E ARRONDISSEMENT;;Métropole du Grand Paris;75107;1109;1084;0;501;13;0;6;;;;11;48;5;829;184;23;19;;0.0;0;336199991;2219535;1700000.0;1700000.0;;;5250000;5250000;;;440000;206000;395000;750000;1060800;1500000;11008;9663;10534;11954;11589;10780;230500;228600;445635;;;;10275;10962;9715;;;;75;200054781;11;48.8561656124, 2.31215388834;"{""coordinates"": [[[2.301737, 48.863496], [2.299222, 48.863284], [2.298589, 48.863144], [2.296871, 48.862619], [2.294865, 48.861876], [2.29369, 48.861246], [2.292196, 48.860254], [2.289696, 48.858183], [2.29102, 48.857498], [2.300546, 48.851385], [2.301228, 48.851062], [2.307354, 48.847133], [2.308218, 48.847433], [2.310495, 48.847976], [2.313716, 48.845943], [2.316713, 48.846863], [2.319541, 48.847914], [2.324162, 48.850235], [2.326877, 48.851362], [2.326814, 48.851581], [2.328657, 48.851868], [2.328659, 48.852056], [2.329396, 48.852731], [2.330772, 48.855112], [2.33327, 48.858291], [2.332452, 48.858531], [2.332916, 48.859335], [2.331212, 48.859679], [2.32798, 48.860821], [2.320933, 48.863019], [2.318678, 48.863723], [2.301737, 48.863496]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;507.0;338419527.32
2015;Île-de-France;Paris;PARIS 4E ARRONDISSEMENT;;Métropole du Grand Paris;75104;678;645;0;376;22;0;0;;5;;6;59;;522;77;12;8;;0.0;0;177710997;0;;;;;;;;;350000;224000;382500;590000;950000;1375000;10483;9513;10386;10090;11974;12665;590000;590000;840000;;;;;;;;;;75;200054781;11;48.8543509809, 2.35762422536;"{""coordinates"": [[[2.368491, 48.855805], [2.368279, 48.855785], [2.364941, 48.856306], [2.361768, 48.857244], [2.359345, 48.858339], [2.356742, 48.860147], [2.3535, 48.861213], [2.350164, 48.861985], [2.347574, 48.857359], [2.347115, 48.857241], [2.345876, 48.855306], [2.344634, 48.854089], [2.346674, 48.853399], [2.349024, 48.852363], [2.351245, 48.851688], [2.354597, 48.850986], [2.359308, 48.849428], [2.361058, 48.848556], [2.362261, 48.847812], [2.364455, 48.846186], [2.366444, 48.84731], [2.369124, 48.853166], [2.368491, 48.855805]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;376.0;177710997.58
2019;Île-de-France;Paris;PARIS 9E ARRONDISSEMENT;;Métropole du Grand Paris;75109;1768;1745;0;953;9;0;0;;;;10;189;;1258;217;47;56;;0.0;0;512425708;0;;;;;;;;;439106;218000;410730;640000;947000;1285714;10559;10054;10757;10916;11003;9695;;;;;;;;;;;;;75;200054781;11;48.8771651221, 2.33745612164;"{""coordinates"": [[[2.325888, 48.869577], [2.327999, 48.869921], [2.340041, 48.871972], [2.347918, 48.870688], [2.347901, 48.874019], [2.34816, 48.875484], [2.348352, 48.876083], [2.349135, 48.877529], [2.3493, 48.879103], [2.349853, 48.880643], [2.3496, 48.88348], [2.349465, 48.883725], [2.346909, 48.883414], [2.339802, 48.882024], [2.3374, 48.882386], [2.332482, 48.883826], [2.329541, 48.88459], [2.328121, 48.883707], [2.327423, 48.883508], [2.327165, 48.883455], [2.326876, 48.876184], [2.326637, 48.875355], [2.327025, 48.873781], [2.326911, 48.873427], [2.32647, 48.872762], [2.326614, 48.872598], [2.325888, 48.869577]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;953.0;512425708.11
