code_commune;annee;type_local;nombre_pieces_principales;prix_m2_med;nb_ventes
75101;2020;Appartement;1.0;13421.052631578948;71
75101;2020;Appartement;2.0;15308.139534883721;60
75101;2020;Appartement;3.0;14611.381578947368;32
75101;2020;Appartement;4.0;14102.562962962964;19
75101;2020;Appartement;5.0;26153.846153846156;8
75101;2020;Appartement;6.0;19004.014598540147;5
75101;2020;Appartement;7.0;16405.405405405407;1
75101;2021;Appartement;0.0;483333.3333333333;3
75101;2021;Appartement;1.0;14009.342105263158;138
75101;2021;Appartement;2.0;14296.527777777777;124
75101;2021;Appartement;3.0;13326.289592760182;76
75101;2021;Appartement;4.0;14729.72972972973;27
75101;2021;Appartement;5.0;13368.32700469064;16
75101;2021;Appartement;6.0;17703.666581762605;2
75101;2021;Appartement;7.0;22160.20725388601;1
75101;2022;Appartement;0.0;1879518.0;1
75101;2022;Appartement;1.0;13414.285714285714;148
75101;2022;Appartement;2.0;14023.076923076924;161
75101;2022;Appartement;3.0;14336.283185840708;91
75101;2022;Appartement;4.0;16156.875;43
75101;2022;Appartement;5.0;12800.0;27
75101;2022;Appartement;6.0;16374.269005847951;11
75101;2022;Appartement;7.0;20165.95380667237;2
75101;2023;Appartement;0.0;135000.0;1
75101;2023;Appartement;1.0;12600.0;125
75101;2023;Appartement;2.0;12914.420178571429;132
75101;2023;Appartement;3.0;13517.241379310344;80
75101;2023;Appartement;4.0;13602.941176470587;41
75101;2023;Appartement;5.0;15421.228866740494;16
75101;2023;Appartement;6.0;14049.666666666668;6
75101;2023;Appartement;7.0;6578.9473684210525;7
75101;2024;Appartement;0.0;118769.0;1
75101;2024;Appartement;1.0;12272.071428571428;100
75101;2024;Appartement;2.0;12833.333333333334;117
75101;2024;Appartement;3.0;13727.519509476031;60
75101;2024;Appartement;4.0;12630.911169956667;30
75101;2024;Appartement;5.0;14065.942028985508;14
75101;2024;Appartement;6.0;9824.561403508773;9
75101;2024;Appartement;7.0;4000.840490797546;1
75101;2025;Appartement;1.0;11934.731934731935;50
75101;2025;Appartement;2.0;12440.47619047619;36
75101;2025;Appartement;3.0;11500.0;27
75101;2025;Appartement;4.0;12820.51724137931;20
75101;2025;Appartement;5.0;15844.155844155845;9
75101;2025;Appartement;6.0;19637.43155882353;2
75101;2025;Appartement;7.0;17049.019607843136;1
75102;2020;Appartement;1.0;12594.732441471573;124
75102;2020;Appartement;2.0;12383.333333333334;93
75102;2020;Appartement;3.0;13001.089324618737;42
75102;2020;Appartement;4.0;12598.425196850394;17
75102;2020;Appartement;5.0;12434.177215189871;7
75102;2020;Appartement;6.0;11254.301075268815;1
75102;2021;Appartement;0.0;52500.0;1
75102;2021;Appartement;1.0;12383.142857142859;244
75102;2021;Appartement;2.0;12212.962962962964;216
75102;2021;Appartement;3.0;12902.777777777776;101
75102;2021;Appartement;4.0;11834.8623853211;37
75102;2021;Appartement;5.0;11818.94580602261;14
75102;2021;Appartement;6.0;13216.216216216217;1
75102;2021;Appartement;7.0;11290.823529411764;3
75102;2022;Appartement;1.0;12223.51724137931;219
75102;2022;Appartement;2.0;12177.67199017199;208
75102;2022;Appartement;3.0;11956.823568136933;114
75102;2022;Appartement;4.0;12792.34693877551;48
75102;2022;Appartement;5.0;11476.897195707596;12
75102;2022;Appartement;6.0;297.2972972972973;1
75102;2022;Appartement;7.0;110.94890510948905;1
75102;2023;Appartement;0.0;8250.0;1
75102;2023;Appartement;1.0;10891.701388888887;192
75102;2023;Appartement;2.0;12425.979591836734;184
75102;2023;Appartement;3.0;12459.016393442624;68
75102;2023;Appartement;4.0;13523.333333333334;37
75102;2023;Appartement;5.0;12199.764521193094;18
75102;2023;Appartement;6.0;11649.357142857143;6
75102;2023;Appartement;7.0;10944.444444444443;1
75102;2024;Appartement;0.0;128440.0;2
75102;2024;Appartement;1.0;11771.241830065359;184
75102;2024;Appartement;2.0;11442.378378378378;171
75102;2024;Appartement;3.0;11569.3006993007;70
75102;2024;Appartement;4.0;13163.265306122448;43
75102;2024;Appartement;5.0;13227.722772277228;13
75102;2024;Appartement;7.0;23636.21693121693;3
75102;2025;Appartement;1.0;11833.333333333334;87
75102;2025;Appartement;2.0;12500.0;81
75102;2025;Appartement;3.0;12343.181818181818;44
75102;2025;Appartement;4.0;12679.116877204962;8
75102;2025;Appartement;5.0;11941.747572815531;5
75103;2020;Appartement;1.0;13137.93103448276;143
75103;2020;Appartement;2.0;13175.625;143
75103;2020;Appartement;3.0;13482.315599422243;84
75103;2020;Appartement;4.0;13416.666666666668;34
75103;2020;Appartement;5.0;13117.397826086957;14
75103;2020;Appartement;6.0;18142.4;3
75103;2021;Appartement;0.0;80000.0;1
75103;2021;Appartement;1.0;12639.615384615385;249
75103;2021;Appartement;2.0;12857.142857142857;297
75103;2021;Appartement;3.0;13129.247311827956;160
75103;2021;Appartement;4.0;13157.371794871795;90
75103;2021;Appartement;5.0;12548.076923076924;25
75103;2021;Appartement;6.0;15500.0;5
75103;2021;Maison;5.0;19500.0;1
75103;2021;Maison;6.0;14756.043165467629;1
75103;2022;Appartement;0.0;21111.11111111111;3
75103;2022;Appartement;1.0;12750.0;310
75103;2022;Appartement;2.0;12702.916666666666;311
75103;2022;Appartement;3.0;12702.702702702703;190
75103;2022;Appartement;4.0;12611.111111111111;95
75103;2022;Appartement;5.0;14072.429906542056;34
75103;2022;Appartement;6.0;12937.016081000596;12
75103;2022;Appartement;8.0;16420.058139534885;1
75103;2023;Appartement;1.0;12027.027027027028;259
75103;2023;Appartement;2.0;12522.727272727272;282
75103;2023;Appartement;3.0;13000.0;165
75103;2023;Appartement;4.0;12799.5;84
75103;2023;Appartement;5.0;12463.541666666666;33
75103;2023;Appartement;6.0;16852.24358974359;6
75103;2023;Appartement;7.0;15094.444444444443;1
75103;2024;Appartement;1.0;11833.333333333334;251
75103;2024;Appartement;2.0;12449.720044792834;278
75103;2024;Appartement;3.0;12985.25974025974;125
75103;2024;Appartement;4.0;13015.873015873016;63
75103;2024;Appartement;5.0;14276.908396946565;24
75103;2024;Appartement;6.0;10309.278350515464;9
75103;2024;Appartement;7.0;16548.333333333332;1
75103;2025;Appartement;0.0;15011.25;1
75103;2025;Appartement;1.0;12029.411764705881;120
75103;2025;Appartement;2.0;11636.904761904761;104
75103;2025;Appartement;3.0;12533.857808857809;58
75103;2025;Appartement;4.0;12335.882352941177;29
75103;2025;Appartement;5.0;11916.426134872738;12
75103;2025;Appartement;6.0;13491.176470588234;4
75103;2025;Appartement;7.0;11936.898395721924;1
75104;2020;Appartement;0.0;25704.0;1
75104;2020;Appartement;1.0;14761.90476190476;113
75104;2020;Appartement;2.0;14444.444444444443;107
